what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1345651411647
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1345651411648
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1345651411650
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1345651411650
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1345651411652
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1345651411653
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1345651411654
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1345651411654
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1345651411656
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1345651411657
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1345651411659
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1345651411660
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1345651411662
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1345651411664
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1345651411665
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1345651411667
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1345651411668
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1345651411670
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1345651411672
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1345651411674
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1345651411676
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1345651411679
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1345651411681
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1345651411684
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1345651411685
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1345651411685
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1345651411686
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1345651411687
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1345651411688
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1345651411691
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1345651411692
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1345651411693
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1345651411694
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1345651411696
os,sysinfo,,,"macosx",1345651411700
arch,sysinfo,,,"x86_64",1345651411700
ws,sysinfo,,,"cocoa",1345651411700
locale,sysinfo,,,"en_US",1345651411700
processors,sysinfo,,,"2",1345651411700
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1345651411700
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1345651411700
java.specification.name,sysinfo,,,"Java Platform API Specification",1345651411700
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345651411700
java.specification.version,sysinfo,,,"1.6",1345651411700
java.vendor,sysinfo,,,"Apple Inc.",1345651411700
java.version,sysinfo,,,"1.6.0_33",1345651411700
java.vm.info,sysinfo,,,"mixed mode",1345651411700
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1345651411700
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1345651411700
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345651411700
java.vm.specification.version,sysinfo,,,"1.0",1345651411700
java.vm.vendor,sysinfo,,,"Apple Inc.",1345651411700
java.vm.version,sysinfo,,,"20.8-b03-424",1345651411700
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1345651411708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651411750
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1345651411755
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1345651412455
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1345651412517
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1345651412594
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1345651413521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651415716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651423405
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1345651428016
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1345651428045
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1345651428060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651430255
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1345651432537
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1345651432910
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1345651432972
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1345651432988
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1345651433003
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1345651433111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651433927
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1345651435558
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1345651435569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651438750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651441246
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1345651441671
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1345651441676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651443516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651450348
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1345651450746
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1345651450792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651451910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651455540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345651459804
